instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,key_respAC_prac.rt,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns,keyDisturbed.keys,keyDisturbed.rt,repPractice.thisRepN,repPractice.thisTrialN,repPractice.thisN,repPractice.thisIndex,repPractice.ran,fixcross_onsetMain,trialNumber,key_resp.keys,key_resp.rt,item_chosen_name,item_chosen_value,item_chosen_ID,diff_chosen_minus_reject,acc_real,acc_feedback,P1_onset,P2_onset,feedb_onset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trial,ValueP1,ValueP2,P1name,P2name,P1Loc,P2Loc,P1id,P2id,Micro_categoryP1,Macro_categoryP1,Micro_categoryP2,Macro_categoryP2,ID_sequenceP1,ID_sequenceP2,InverseFb,pNumber
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,411.464675,31,NaN,NaN,No_response,NaN,NaN,NaN,2,2,411.482185,411.482185,415.25367,0,30,30,30,1,31,5,1,dress         ,calculator    ,html/resources/sequences_IDs/A/07_dress.jpg,html/resources/sequences_IDs/A/09_calculator.jpg,7,9,3,2,4,2,5,7,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,416.35554,32,NaN,NaN,No_response,NaN,NaN,NaN,2,2,416.37381,416.37381,418.87087,0,31,31,31,1,32,5,2,dress         ,radio       ,html/resources/sequences_IDs/A/07_dress.jpg,html/resources/sequences_IDs/B/10_radio.jpg,7,10,3,2,4,2,5,8,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,419.974495,33,NaN,NaN,No_response,NaN,NaN,NaN,2,2,420.006965,420.006965,422.50403,0,32,32,32,1,33,6,8,giraffe     ,redfox      ,html/resources/sequences_IDs/B/03_giraffe.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,3,1,1,1,1,1,2,1,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,423.60651,34,NaN,NaN,No_response,NaN,NaN,NaN,2,2,423.644975,423.644975,426.13842,0,33,33,33,1,34,4,3,parrot      ,clownfish     ,html/resources/sequences_IDs/B/05_parrot.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,5,4,2,1,2,1,4,3,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,427.23919,35,NaN,NaN,No_response,NaN,NaN,NaN,2,2,427.273955,427.273955,429.77107,0,34,34,34,1,35,1,2,calculator    ,radio       ,html/resources/sequences_IDs/A/09_calculator.jpg,html/resources/sequences_IDs/B/10_radio.jpg,9,10,4,2,4,2,7,8,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,430.87189,36,NaN,NaN,No_response,NaN,NaN,NaN,2,2,430.8908,430.8908,433.387675,0,35,35,35,1,36,8,7,redfox      ,hat           ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/08_hat.jpg,1,8,1,1,3,2,1,6,1,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,434.48885,37,NaN,NaN,No_response,NaN,NaN,NaN,2,2,434.524145,434.524145,437.021125,0,36,36,36,1,37,5,7,dress         ,hat           ,html/resources/sequences_IDs/A/07_dress.jpg,html/resources/sequences_IDs/A/08_hat.jpg,7,8,3,2,3,2,5,6,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,438.122375,38,NaN,NaN,No_response,NaN,NaN,NaN,2,2,438.140745,438.140745,440.63739,0,37,37,37,1,38,8,7,redfox      ,hat           ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/08_hat.jpg,1,8,1,1,3,2,1,6,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,441.739355,39,NaN,NaN,No_response,NaN,NaN,NaN,2,2,441.773895,441.773895,444.27055,0,38,38,38,1,39,3,7,clownfish     ,hat           ,html/resources/sequences_IDs/A/04_clownfish.jpg,html/resources/sequences_IDs/A/08_hat.jpg,4,8,2,1,3,2,3,6,0,92
,,,,,92,2020-07-04_19h10.38.269,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,445.37264,40,NaN,NaN,No_response,NaN,NaN,NaN,2,2,445.407365,445.407365,447.9043,0,39,39,39,1,40,8,4,redfox      ,parrot      ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/B/05_parrot.jpg,1,5,1,1,2,1,1,4,0,92
